NUM,MEAN,MEDIAN,5%,1%,0.1%,MAX
37095,28.2285,25.7719,48.1966,55.04,60.6797,66.5022
33353,26.5799,24.9375,42.7563,49.073,55.5087,59.7651
21250,27.9372,25.5028,47.2405,54.5806,60.5387,67.2505
