NUM,MEAN,MEDIAN,5%,1%,0.1%,MAX
37095,986.642,993.923,943.407,922.131,902.059,887.266
33353,990.269,995.554,956.775,941.351,924.39,907.862
31720,990.191,995.687,956.523,942.411,924.559,916.071
